,age,continent,position,prefer_foot,reputation,stat_overall,stat_potential,stat_skill_moves,value
255,30,0.0,2.0,0.0,1.0,80,80,4.0,10500000.0
256,34,0.0,3.0,1.0,1.0,80,80,2.0,4500000.0
257,21,1.0,3.0,0.0,1.0,80,87,3.0,21000000.0
258,26,0.0,2.0,1.0,1.0,80,83,2.0,15500000.0
259,21,2.0,3.0,1.0,1.0,80,85,3.0,17000000.0
260,23,1.0,3.0,1.0,2.0,80,85,3.0,17000000.0
261,22,1.0,3.0,1.0,2.0,80,86,4.0,20000000.0
262,25,1.0,0.0,1.0,2.0,80,83,4.0,18500000.0
263,23,2.0,3.0,1.0,2.0,80,85,4.0,20000000.0
264,26,0.0,1.0,1.0,3.0,80,85,1.0,14000000.0
265,22,1.0,3.0,0.0,2.0,80,85,4.0,20000000.0
266,22,1.0,0.0,1.0,1.0,80,85,3.0,20000000.0
267,24,1.0,3.0,0.0,2.0,80,84,4.0,19500000.0
268,25,0.0,2.0,0.0,2.0,80,82,3.0,15000000.0
269,26,1.0,1.0,0.0,1.0,80,83,1.0,13000000.0
270,24,1.0,3.0,1.0,2.0,80,85,3.0,19500000.0
271,24,1.0,2.0,1.0,2.0,80,82,2.0,15500000.0
272,28,1.0,3.0,0.0,1.0,80,80,3.0,12000000.0
273,28,2.0,2.0,0.0,1.0,80,80,2.0,12000000.0
274,24,1.0,0.0,1.0,1.0,80,83,3.0,19000000.0
275,26,1.0,3.0,1.0,1.0,80,81,3.0,17500000.0
276,24,1.0,0.0,1.0,2.0,80,84,4.0,19500000.0
277,30,3.0,0.0,1.0,1.0,80,80,4.0,14500000.0
278,29,1.0,1.0,1.0,1.0,80,81,1.0,11500000.0
279,23,1.0,2.0,1.0,3.0,80,85,3.0,16500000.0
280,25,1.0,2.0,1.0,2.0,80,81,2.0,14500000.0
281,26,0.0,2.0,1.0,2.0,80,84,2.0,16000000.0
282,29,1.0,3.0,1.0,2.0,80,80,3.0,11500000.0
283,25,1.0,2.0,0.0,1.0,80,81,3.0,14500000.0
284,26,1.0,0.0,0.0,1.0,80,81,3.0,17500000.0
285,26,1.0,3.0,1.0,2.0,80,80,3.0,16000000.0
286,29,1.0,2.0,1.0,3.0,80,80,2.0,11500000.0
287,27,0.0,0.0,1.0,2.0,80,81,4.0,17500000.0
288,26,2.0,0.0,1.0,3.0,80,82,5.0,18000000.0
289,26,2.0,2.0,1.0,2.0,80,82,2.0,15000000.0
290,28,1.0,0.0,1.0,2.0,80,80,3.0,15500000.0
291,28,1.0,3.0,0.0,3.0,80,80,4.0,15000000.0
292,27,1.0,2.0,1.0,2.0,80,81,3.0,13500000.0
293,27,1.0,2.0,1.0,2.0,80,80,3.0,12000000.0
294,25,1.0,2.0,0.0,3.0,80,83,4.0,15500000.0
295,27,0.0,3.0,1.0,2.0,80,80,4.0,15500000.0
296,27,1.0,2.0,1.0,2.0,80,80,3.0,12000000.0
297,29,0.0,2.0,1.0,2.0,80,80,2.0,11500000.0
298,28,1.0,2.0,0.0,3.0,80,80,3.0,12000000.0
299,26,1.0,3.0,1.0,2.0,80,81,4.0,17500000.0
300,27,1.0,3.0,0.0,2.0,80,80,3.0,15500000.0
301,28,1.0,0.0,0.0,3.0,80,80,4.0,15000000.0
302,27,1.0,0.0,1.0,2.0,80,80,2.0,16000000.0
303,25,1.0,3.0,1.0,2.0,80,83,4.0,18500000.0
304,30,1.0,0.0,1.0,2.0,80,80,4.0,14000000.0
305,28,1.0,3.0,1.0,2.0,80,80,3.0,12000000.0
306,27,1.0,1.0,1.0,2.0,80,81,1.0,11500000.0
307,27,2.0,3.0,1.0,2.0,80,82,2.0,14500000.0
308,28,1.0,3.0,1.0,2.0,80,81,2.0,13500000.0
309,29,1.0,1.0,1.0,2.0,80,80,1.0,10000000.0
310,27,0.0,2.0,1.0,3.0,80,80,3.0,12500000.0
311,28,0.0,0.0,1.0,3.0,80,80,4.0,15500000.0
312,32,1.0,2.0,0.0,2.0,80,80,3.0,8000000.0
313,31,1.0,3.0,1.0,2.0,80,80,3.0,12500000.0
314,32,0.0,3.0,1.0,2.0,80,80,4.0,11000000.0
315,31,0.0,1.0,1.0,3.0,80,80,1.0,9000000.0
316,31,1.0,2.0,0.0,2.0,80,80,3.0,10000000.0
317,31,1.0,3.0,1.0,2.0,80,80,4.0,13000000.0
318,30,1.0,3.0,1.0,2.0,80,80,3.0,13500000.0
319,33,1.0,2.0,1.0,3.0,80,80,2.0,6000000.0
320,33,1.0,3.0,1.0,3.0,80,80,3.0,6000000.0
321,32,1.0,2.0,1.0,2.0,80,80,2.0,8500000.0
322,34,0.0,2.0,0.0,3.0,80,80,2.0,4500000.0
323,32,1.0,0.0,1.0,3.0,80,80,3.0,12000000.0
324,33,1.0,2.0,1.0,3.0,80,80,3.0,5500000.0
325,33,1.0,3.0,1.0,3.0,80,80,5.0,8500000.0
326,32,1.0,3.0,1.0,2.0,80,80,3.0,11500000.0
327,34,0.0,3.0,1.0,4.0,80,80,2.0,4500000.0
328,34,1.0,1.0,1.0,2.0,80,80,1.0,6000000.0
329,36,1.0,2.0,1.0,3.0,80,80,3.0,1700000.0
330,33,1.0,2.0,1.0,4.0,80,80,3.0,6000000.0
331,34,1.0,0.0,1.0,3.0,80,80,3.0,8000000.0
332,39,1.0,1.0,1.0,2.0,80,80,1.0,1000000.0
333,20,1.0,3.0,0.0,1.0,79,86,4.0,18000000.0
334,21,1.0,2.0,1.0,1.0,79,85,2.0,15000000.0
335,21,0.0,0.0,0.0,2.0,79,86,5.0,18000000.0
336,21,0.0,3.0,0.0,1.0,79,86,4.0,18000000.0
337,20,0.0,0.0,1.0,1.0,79,86,4.0,18000000.0
338,30,0.0,0.0,1.0,1.0,79,79,4.0,12000000.0
339,26,0.0,1.0,1.0,1.0,79,79,1.0,9000000.0
340,30,0.0,3.0,1.0,1.0,79,79,2.0,9500000.0
341,30,0.0,2.0,0.0,1.0,79,79,2.0,9500000.0
342,21,1.0,3.0,1.0,2.0,79,84,3.0,14500000.0
343,23,1.0,3.0,1.0,1.0,79,87,3.0,16000000.0
344,24,1.0,3.0,1.0,1.0,79,81,4.0,15500000.0
345,20,1.0,0.0,1.0,1.0,79,86,4.0,18000000.0
346,22,1.0,2.0,0.0,2.0,79,86,3.0,15000000.0
347,25,2.0,0.0,1.0,2.0,79,80,3.0,15000000.0
348,29,1.0,2.0,0.0,1.0,79,79,3.0,12000000.0
349,24,0.0,0.0,0.0,2.0,79,84,5.0,17000000.0
350,22,1.0,3.0,1.0,3.0,79,84,3.0,14500000.0
351,23,1.0,2.0,1.0,2.0,79,85,3.0,14500000.0
352,24,1.0,3.0,1.0,1.0,79,82,3.0,16000000.0
353,26,0.0,3.0,1.0,1.0,79,80,3.0,14500000.0
354,24,1.0,0.0,1.0,2.0,79,84,4.0,17000000.0
355,21,1.0,0.0,1.0,2.0,79,86,4.0,18000000.0
356,26,1.0,2.0,1.0,2.0,79,81,3.0,12500000.0
357,25,0.0,0.0,1.0,2.0,79,82,3.0,16000000.0
358,28,0.0,0.0,1.0,2.0,79,79,3.0,13000000.0
359,22,1.0,3.0,1.0,2.0,79,83,4.0,16000000.0
360,23,1.0,0.0,1.0,2.0,79,83,4.0,16500000.0
361,25,1.0,3.0,1.0,2.0,79,80,3.0,15000000.0
362,24,1.0,1.0,1.0,2.0,79,83,1.0,11500000.0
363,27,1.0,3.0,1.0,1.0,79,81,2.0,12500000.0
364,23,1.0,2.0,0.0,1.0,79,83,2.0,14000000.0
365,24,1.0,3.0,1.0,2.0,79,86,3.0,17500000.0
366,25,1.0,2.0,1.0,2.0,79,81,2.0,13000000.0
367,27,1.0,2.0,0.0,2.0,79,80,3.0,11500000.0
368,27,1.0,2.0,0.0,2.0,79,80,2.0,12000000.0
369,23,1.0,2.0,1.0,2.0,79,83,2.0,14000000.0
370,25,1.0,3.0,1.0,2.0,79,81,3.0,15000000.0
371,23,1.0,3.0,1.0,1.0,79,85,4.0,17500000.0
372,24,1.0,3.0,1.0,2.0,79,82,4.0,16000000.0
373,25,1.0,2.0,0.0,2.0,79,84,3.0,14000000.0
374,26,1.0,3.0,1.0,1.0,79,80,3.0,12000000.0
375,25,1.0,3.0,1.0,1.0,79,84,3.0,16500000.0
376,25,1.0,2.0,0.0,2.0,79,82,4.0,13000000.0
377,27,0.0,3.0,0.0,2.0,79,79,4.0,13000000.0
378,32,1.0,1.0,1.0,2.0,79,79,1.0,7000000.0
379,25,1.0,2.0,1.0,2.0,79,80,3.0,12000000.0
380,28,1.0,0.0,1.0,2.0,79,79,4.0,12500000.0
381,26,1.0,0.0,0.0,2.0,79,80,3.0,15000000.0
382,25,1.0,3.0,1.0,1.0,79,81,4.0,15500000.0
383,31,1.0,3.0,1.0,3.0,79,79,4.0,11000000.0
384,28,1.0,3.0,1.0,1.0,79,79,3.0,12500000.0
385,26,0.0,2.0,1.0,2.0,79,80,3.0,12000000.0
386,26,4.0,1.0,1.0,1.0,79,81,1.0,10500000.0
387,29,1.0,0.0,1.0,2.0,79,79,4.0,12500000.0
388,27,1.0,2.0,1.0,2.0,79,79,2.0,10500000.0
389,27,1.0,3.0,1.0,2.0,79,80,2.0,12000000.0
390,26,1.0,3.0,1.0,1.0,79,82,3.0,15500000.0
391,30,1.0,2.0,1.0,2.0,79,79,3.0,9000000.0
392,27,1.0,3.0,1.0,1.0,79,79,3.0,13000000.0
393,28,2.0,3.0,1.0,2.0,79,79,4.0,12500000.0
394,27,0.0,2.0,1.0,1.0,79,81,2.0,12500000.0
395,30,1.0,2.0,0.0,1.0,79,79,3.0,9000000.0
396,27,3.0,0.0,1.0,2.0,79,80,3.0,14500000.0
397,28,1.0,3.0,0.0,1.0,79,79,3.0,10000000.0
398,28,1.0,0.0,1.0,1.0,79,79,3.0,13000000.0
399,28,0.0,0.0,1.0,2.0,79,79,4.0,13000000.0
400,27,0.0,0.0,1.0,2.0,79,80,4.0,14500000.0
401,27,1.0,3.0,0.0,1.0,79,79,4.0,13000000.0
402,30,1.0,1.0,1.0,2.0,79,79,1.0,8000000.0
403,28,1.0,2.0,0.0,2.0,79,79,2.0,10000000.0
404,29,0.0,3.0,1.0,2.0,79,79,3.0,10000000.0
405,27,1.0,3.0,1.0,2.0,79,80,3.0,12000000.0
406,29,2.0,2.0,0.0,2.0,79,79,4.0,9500000.0
407,29,1.0,1.0,1.0,2.0,79,80,1.0,10000000.0
408,30,1.0,0.0,1.0,3.0,79,79,3.0,12000000.0
