ID,reputation,stat_overall,stat_potential,stat_skill_moves,value
411,1,79,79,2,8500000
412,2,79,79,3,12500000
413,2,79,79,1,7000000
414,3,79,80,2,11500000
415,2,79,80,2,11500000
416,3,79,79,3,13000000
417,3,79,79,4,11500000
418,1,79,79,1,8000000
419,2,79,79,1,7500000
420,1,79,79,3,11500000
421,2,79,79,3,10000000
422,3,79,79,3,11500000
423,2,79,79,3,7000000
424,3,79,79,1,8000000
425,3,79,79,3,10000000
426,2,79,79,2,7000000
427,1,79,79,4,6500000
428,3,79,79,5,11000000
429,3,79,79,4,8000000
430,2,79,79,4,7500000
431,3,79,79,4,11000000
432,2,79,79,4,6000000
433,2,79,79,3,10000000
434,2,79,79,1,6500000
435,2,79,79,4,4000000
436,1,78,83,3,14000000
437,2,78,87,4,16000000
438,1,78,81,3,13000000
439,1,78,84,4,14000000
440,1,78,84,3,12000000
441,2,78,90,1,14000000
442,1,78,84,4,14000000
443,1,78,78,2,9000000
444,1,78,78,4,5000000
445,1,78,81,4,13000000
446,1,78,88,3,14500000
447,2,78,84,3,14000000
448,1,78,84,4,14000000
449,1,78,78,1,6000000
450,1,78,84,3,14000000
451,3,78,80,4,13000000
452,1,78,85,4,14500000
453,2,78,86,4,15500000
454,1,78,78,3,10500000
455,2,78,83,3,14000000
456,1,78,80,3,13000000
457,1,78,83,3,12000000
458,1,78,86,3,13000000
459,1,78,85,2,12500000
460,1,78,80,1,8500000
461,2,78,80,2,10500000
462,1,78,79,2,10000000
463,2,78,85,3,15000000
464,1,78,79,4,12500000
465,2,78,79,2,10000000
466,1,78,84,4,14000000
467,1,78,78,3,7500000
468,1,78,81,3,10500000
469,2,78,81,2,11000000
470,2,78,79,3,12000000
471,1,78,83,4,14000000
472,1,78,81,4,13000000
473,1,78,78,2,8000000
474,1,78,85,3,12500000
475,1,78,81,3,10500000
476,1,78,84,4,14000000
477,2,78,80,4,12500000
478,2,78,83,4,13500000
479,1,78,84,2,12000000
480,2,78,83,3,13500000
481,2,78,84,2,12000000
482,1,78,80,4,12500000
483,1,78,84,4,14000000
484,1,78,81,3,11000000
485,1,78,83,3,13500000
486,2,78,80,4,12500000
487,2,78,80,1,8500000
488,3,78,83,3,13500000
489,1,78,84,4,14000000
490,2,78,86,3,15000000
491,1,78,82,1,9500000
492,1,78,84,4,14000000
493,2,78,83,3,13500000
494,2,78,81,3,10500000
495,2,78,79,4,12500000
496,2,78,78,2,8500000
497,1,78,84,1,10500000
498,2,78,78,4,10000000
499,1,78,79,3,12500000
500,2,78,78,3,10000000
501,2,78,78,3,11000000
502,1,78,78,3,11000000
503,2,78,81,3,10500000
504,2,78,80,1,8500000
505,1,78,79,4,12000000
506,2,78,78,4,11000000
507,1,78,79,2,9500000
508,2,78,80,4,12500000
509,1,78,80,2,10000000
510,1,78,80,2,10000000
511,1,78,78,2,7000000
512,2,78,78,3,9000000
513,2,78,81,4,13000000
514,2,78,80,2,10500000
515,2,78,78,4,10500000
516,2,78,78,3,9500000
517,1,78,82,1,9500000
518,2,78,80,2,10000000
519,3,78,79,3,9500000
520,2,78,81,4,13000000
521,3,78,78,4,5000000
522,2,78,80,2,10500000
523,3,78,78,3,5500000
524,2,78,78,4,11000000
525,2,78,78,2,7500000
526,2,78,78,1,6500000
527,2,78,78,3,10000000
528,2,78,78,3,8000000
529,2,78,80,2,10000000
530,3,78,78,1,2400000
531,3,78,78,4,6000000
532,3,78,78,4,8000000
533,2,78,78,3,2900000
534,2,78,78,3,7000000
535,2,78,78,2,7000000
536,2,78,78,2,8000000
537,2,78,78,4,9000000
538,2,78,78,3,9500000
539,2,78,78,4,4000000
540,2,78,78,4,7000000
541,1,78,78,2,6000000
542,2,77,77,4,9000000
543,1,77,82,3,12000000
544,2,77,77,3,7500000
545,2,77,77,3,8500000
546,1,77,81,3,11500000
547,1,77,77,2,6500000
548,2,77,81,3,11500000
549,2,77,77,4,4100000
550,2,77,77,4,9000000
551,2,77,77,2,2100000
552,1,77,82,2,10000000
553,1,77,78,3,10000000
554,2,77,77,3,8500000
555,3,77,77,1,5000000
556,2,77,77,3,3600000
557,2,77,77,4,8500000
558,2,77,78,3,10500000
559,2,77,77,2,2700000
560,1,77,82,3,10000000
561,1,77,81,4,11500000
562,1,77,83,2,10500000
563,1,77,77,3,6500000
564,2,77,77,4,7000000
565,1,77,78,4,8500000
566,2,77,77,3,8500000
567,2,77,78,4,10000000
568,2,77,77,2,6500000
569,2,77,77,2,7500000
570,2,77,84,3,11000000
571,1,77,77,4,7000000
572,2,77,77,4,4500000
573,2,77,77,4,5500000
574,1,77,83,1,9000000
575,1,77,77,4,9500000
576,1,77,83,2,10500000
577,1,77,80,1,7500000
578,1,77,77,3,9000000
579,2,77,80,4,11500000
580,1,77,82,4,12000000
581,2,77,77,3,8500000
582,2,77,77,3,9000000
583,1,77,77,3,6500000
584,1,77,77,2,6500000
585,1,77,84,3,10500000
586,1,77,78,3,8500000
587,2,77,77,4,9000000
588,1,77,84,4,12500000
589,1,77,77,3,9000000
590,1,77,77,3,5000000
591,1,77,77,3,9000000
592,3,77,77,1,3600000
593,2,77,77,3,8000000
594,3,77,77,2,2500000
595,1,77,77,3,3200000
596,1,77,77,3,5000000
597,3,77,77,4,4700000
598,1,77,81,4,11500000
599,2,77,77,4,9500000
600,2,77,78,3,8000000
601,2,77,79,2,8500000
602,2,77,77,4,8000000
603,2,77,77,3,3400000
604,2,77,77,3,6500000
605,2,77,83,4,12500000
606,1,77,77,4,8500000
607,2,77,77,3,8000000
608,1,77,84,3,11000000
609,1,77,81,3,10000000
610,1,77,83,2,10500000
611,1,77,77,3,3200000
612,3,77,77,3,9500000
613,1,77,77,4,9000000
614,1,77,77,4,8500000
615,2,77,78,1,7000000
616,1,77,81,3,9500000
617,2,77,83,2,10500000
618,1,77,87,3,14500000
619,2,77,77,1,5000000
620,2,77,82,2,10000000
621,2,77,80,3,9000000
622,2,77,79,2,9000000
623,1,77,86,3,12000000
624,2,77,77,3,6000000
625,1,77,83,2,10500000
626,1,77,77,3,9500000
627,1,77,82,3,10000000
628,3,77,77,4,7500000
629,2,77,77,2,7000000
630,2,77,77,2,6500000
631,2,77,80,3,11000000
632,2,77,78,3,10500000
633,2,77,78,3,10500000
634,2,77,77,2,6500000
635,2,77,82,3,12000000
636,2,77,82,4,12000000
637,1,77,83,3,12500000
638,2,77,80,4,9500000
639,2,77,80,3,9000000
640,2,77,77,1,2100000
641,2,77,84,4,12500000
642,3,77,77,2,5000000
643,1,77,77,2,7000000
644,2,77,77,3,7500000
645,2,77,77,4,8500000
646,2,77,77,2,7000000
647,2,77,78,3,8500000
648,1,77,82,3,12000000
649,2,77,77,3,6000000
650,2,77,77,3,4700000
651,2,77,82,3,12000000
652,2,77,78,3,10500000
653,2,77,81,4,11500000
654,1,77,84,2,11000000
655,2,77,83,3,12500000
656,1,77,82,3,12000000
657,2,77,80,4,11500000
658,1,77,78,3,8000000
659,2,77,77,2,6500000
660,2,77,77,3,7000000
661,1,77,78,3,10500000
662,3,77,77,3,8500000
663,1,77,79,3,9000000
664,2,77,82,4,12000000
665,1,77,85,3,13500000
666,1,77,83,3,10000000
667,2,77,80,2,9500000
668,1,77,80,3,9000000
669,1,77,79,2,8500000
670,2,77,77,3,3200000
671,2,77,77,3,9000000
672,1,77,92,5,17500000
673,2,77,77,4,6500000
674,1,77,78,2,8500000
675,2,77,80,3,11000000
676,2,77,77,1,3600000
677,2,77,77,2,6500000
678,1,77,85,3,11000000
679,2,77,86,2,12000000
680,2,77,77,3,9000000
681,1,77,80,3,9000000
682,1,77,82,1,8500000
683,2,77,77,3,7000000
684,1,77,78,1,7000000
685,2,77,77,4,8500000
686,1,77,77,3,8000000
687,2,77,77,2,6500000
688,2,77,77,4,4500000
689,2,77,78,5,10500000
690,1,77,77,4,8500000
691,2,77,89,3,15500000
692,1,77,83,4,10500000
693,1,77,77,2,6500000
694,2,77,77,4,7000000
695,2,77,82,3,11500000
696,2,77,77,3,7000000
697,1,77,83,2,10500000
698,1,77,77,2,5000000
699,2,77,78,2,8500000
700,2,77,81,3,10000000
701,1,77,77,3,5500000
702,1,77,84,4,12500000
703,2,77,81,3,11500000
704,2,77,77,3,7000000
705,2,77,77,4,7000000
706,1,77,82,3,12000000
707,1,77,80,2,9000000
708,2,77,79,3,9000000
709,1,77,77,5,7000000
710,1,77,82,3,10000000
711,1,76,76,1,4700000
712,1,76,76,4,6500000
713,2,76,76,2,6000000
714,1,76,78,1,6500000
715,1,76,81,3,10000000
716,1,76,76,3,8000000
717,1,76,81,3,8500000
718,1,76,76,1,5000000
719,2,76,76,3,6500000
720,2,76,76,2,5500000
721,2,76,76,4,4500000
722,1,76,81,4,10500000
723,1,76,83,1,8000000
724,1,76,83,2,9500000
725,1,76,86,3,12500000
726,1,76,83,3,9500000
727,1,76,80,3,8500000
728,1,76,83,4,11000000
729,1,76,80,3,10000000
730,1,76,77,3,8500000
731,2,76,76,3,6000000
732,2,76,85,4,11500000
733,1,76,81,3,8500000
734,2,76,76,1,4900000
735,2,76,77,3,7500000
736,1,76,82,4,10500000
737,1,76,81,4,10500000
738,1,76,76,3,7000000
739,2,76,77,3,9000000
740,3,76,76,4,8000000
741,1,76,76,3,7500000
742,1,76,83,4,10500000
743,1,76,83,4,11000000
744,1,76,81,2,8500000
745,2,76,76,3,6500000
746,2,76,81,3,10500000
747,2,76,76,3,4300000
748,1,76,76,3,4700000
749,3,76,76,2,8000000
750,1,76,76,4,6500000
751,2,76,76,3,7500000
752,1,76,77,3,9000000
753,1,76,76,2,5000000
754,2,76,77,3,9000000
755,1,76,76,3,5500000
756,1,76,76,2,2300000
757,1,76,76,3,8000000
758,2,76,76,1,1000000
759,1,76,79,4,10000000
760,1,76,76,3,8000000
761,2,76,77,3,9000000
762,2,76,76,4,8000000
763,1,76,83,4,11000000
764,2,76,78,2,7500000
765,1,76,80,3,8500000
766,1,76,76,3,6500000
767,1,76,77,1,6000000
768,1,76,77,3,7000000
769,1,76,77,3,9000000
770,3,76,76,3,4800000
771,2,76,76,3,7500000
772,1,76,86,3,12000000
773,2,76,76,4,4700000
774,2,76,76,2,3100000
775,1,76,79,3,9500000
776,2,76,76,3,8000000
777,2,76,76,2,5000000
778,2,76,79,4,10000000
779,1,76,76,3,6500000
780,1,76,79,3,8000000
781,1,76,76,2,5500000
782,1,76,81,2,8500000
783,3,76,76,3,4800000
784,1,76,79,4,9500000
785,1,76,76,2,6500000
786,1,76,84,4,11500000
787,1,76,79,3,8000000
788,1,76,76,3,7500000
789,3,76,76,4,6000000
790,2,76,76,3,8000000
791,1,76,77,2,7500000
792,3,76,76,2,7500000
793,2,76,76,4,6000000
794,2,76,76,1,1000000
795,1,76,78,1,6500000
796,1,76,77,3,9000000
797,2,76,77,2,7000000
798,1,76,77,3,7000000
799,1,76,76,2,6500000
800,1,76,77,3,7500000
801,1,76,78,2,7500000
802,1,76,79,3,10000000
803,1,76,76,1,3900000
804,1,76,76,2,5500000
805,1,76,81,3,10500000
806,1,76,76,3,7500000
807,1,76,79,4,8000000
808,1,76,76,3,6000000
809,1,76,76,3,8000000
810,1,76,77,4,9000000
811,2,76,76,4,3400000
812,1,76,76,2,5000000
813,2,76,83,2,9500000
814,2,76,76,2,5500000
815,2,76,76,4,8500000
816,2,76,76,2,5500000
817,1,76,76,2,5500000
818,2,76,77,4,9000000
819,2,76,77,2,7500000
820,1,76,76,4,8500000
821,1,76,80,3,8500000
822,2,76,76,2,5000000
823,1,76,77,4,9000000
824,1,76,81,3,10500000
825,1,76,82,2,9000000
826,2,76,76,3,8000000
827,1,76,76,3,8000000
828,1,76,76,4,7500000
829,2,76,81,3,10000000
830,1,76,76,3,7500000
831,2,76,76,4,4300000
832,2,76,76,3,5000000
833,2,76,86,3,12500000
834,2,76,77,3,9000000
835,2,76,76,2,5500000
836,1,76,81,2,8500000
837,1,76,83,4,9000000
838,1,76,80,2,8500000
839,1,76,83,1,8000000
840,1,76,76,2,5000000
841,2,76,76,3,2200000
842,2,76,76,2,4400000
843,1,76,76,4,7500000
844,1,76,79,3,8000000
845,1,76,76,3,6000000
846,2,76,78,3,9500000
847,2,76,79,3,8000000
848,1,76,78,3,7500000
849,1,76,80,2,8500000
850,1,76,77,3,9000000
851,1,76,76,1,4900000
852,1,76,81,3,10500000
853,2,76,76,3,6000000
854,1,76,83,3,10500000
855,2,76,76,4,7500000
856,1,76,79,4,10000000
857,2,76,76,4,8000000
858,1,76,76,4,4800000
859,1,76,81,3,8500000
860,2,76,76,3,5000000
861,2,76,76,3,7000000
862,1,76,81,2,8500000
863,2,76,77,3,7500000
864,2,76,77,3,9000000
865,3,76,76,3,3000000
866,1,76,76,3,5500000
867,1,76,83,2,9500000
868,1,76,76,3,7000000
869,2,76,80,2,8500000
870,2,76,76,4,7500000
871,1,76,77,4,9000000
872,1,76,80,2,8500000
873,1,76,80,4,10000000
874,2,76,76,3,7500000
875,2,76,83,3,10500000
876,1,76,79,3,10000000
877,1,76,76,2,5000000
878,2,76,76,3,7000000
879,2,76,79,1,6500000
880,1,76,76,3,6000000
881,1,76,76,2,5500000
882,2,76,76,2,5500000
883,1,76,84,4,11500000
884,2,76,76,4,4700000
885,1,76,79,1,6500000
886,2,76,83,3,11000000
887,1,76,88,4,14000000
888,2,76,76,3,5000000
889,1,76,84,3,11500000
890,2,76,76,3,4400000
891,1,76,76,3,2200000
892,2,76,81,4,10000000
893,1,76,81,4,10500000
894,1,76,76,4,7000000
895,3,76,76,3,4300000
896,2,76,79,4,9500000
897,1,76,79,4,9500000
898,2,76,76,3,6000000
899,1,76,88,1,10500000
900,2,76,76,3,6000000
901,1,76,76,3,3100000
902,1,76,82,4,10500000
903,1,76,76,2,5500000
904,1,76,80,3,10000000
905,1,76,78,2,7500000
906,1,76,82,1,7500000
907,1,76,77,1,6000000
908,1,76,80,4,10000000
909,1,76,76,4,8000000
910,2,76,76,3,8000000
911,2,76,77,2,7000000
912,2,76,77,3,8500000
913,1,76,76,4,3900000
914,1,76,82,3,10500000
915,1,75,78,3,7000000
916,1,75,78,3,8500000
917,1,75,80,3,9000000
918,1,75,81,3,9000000
919,1,75,83,2,8500000
920,1,75,75,3,6500000
921,1,75,82,4,9500000
922,1,75,80,3,9000000
923,2,75,75,3,6500000
924,1,75,78,2,7000000
925,1,75,75,4,7000000
926,1,75,75,1,2700000
927,1,75,76,4,8000000
928,1,75,79,2,7500000
929,2,75,76,4,8000000
930,1,75,75,3,4900000
931,1,75,82,2,8000000
932,1,75,75,3,4800000
933,2,75,75,4,4000000
934,1,75,75,3,6500000
935,2,75,75,3,7000000
936,1,75,75,2,5000000
937,1,75,75,2,4900000
938,2,75,81,3,9000000
939,2,75,75,3,6500000
940,1,75,75,2,5500000
941,1,75,78,1,5500000
942,1,75,76,3,8000000
943,1,75,83,3,10000000
944,2,75,75,2,900000
945,1,75,75,3,5000000
946,1,75,75,3,6500000
947,1,75,81,3,9000000
948,1,75,78,4,8500000
949,1,75,75,2,2700000
950,1,75,75,3,5500000
951,1,75,75,3,3700000
952,1,75,75,3,6000000
953,1,75,75,1,1600000
954,1,75,78,1,5500000
955,1,75,85,2,9500000
956,1,75,85,4,11000000
957,2,75,75,3,6500000
958,1,75,76,3,8000000
959,1,75,75,3,5500000
960,1,75,79,2,7000000
961,1,75,76,3,8000000
962,1,75,75,4,7000000
963,1,75,78,4,8500000
964,1,75,81,2,8000000
965,1,75,75,3,5500000
966,2,75,75,1,2700000
967,1,75,81,4,9000000
968,2,75,79,3,7000000
969,2,75,75,3,3700000
970,1,75,75,3,5500000
971,2,75,75,3,6500000
972,1,75,75,3,6500000
973,1,75,76,3,6500000
974,2,75,75,2,2700000
975,1,75,80,1,6500000
976,2,75,75,2,1600000
977,2,75,75,2,5000000
978,2,75,76,3,8000000
979,1,75,75,4,6500000
980,1,75,75,3,6000000
981,2,75,75,2,5500000
982,1,75,80,3,9000000
983,1,75,75,1,3800000
984,1,75,75,2,6000000
985,1,75,83,3,9500000
986,1,75,75,3,4400000
987,2,75,75,3,5500000
988,2,75,75,4,2900000
989,2,75,75,3,1900000
990,2,75,75,3,6500000
991,2,75,76,2,6000000
992,3,75,75,3,4900000
993,1,75,80,2,7500000
994,1,75,81,3,9000000
